ZCTA5,LANDSQMT,POPULATION
1604,16677756,34677
1605,14612620,26221
1606,15358057,19077
1607,8199220,8351
1608,1159110,3888
1609,9893464,22421
1610,5505953,23945
1611,8915204,2242
1612,39666695,4845
1701,43923156,31217
1702,20957508,37206
1718,121367,469
1719,26640078,4996
1720,51057015,21361
1721,31933385,16593
1730,35478046,13221
1731,2049705,1396
1740,51675247,4897
1741,39536091,4852
1742,63296150,17726
1745,1033541,397
1746,48288456,13547
1747,13392801,5911
1748,68016796,14925
1749,29841347,19063
1752,54041301,38499
1754,13502214,10106
1756,46035300,5839
1757,38538162,28061
1760,38359306,32786
1770,40966896,4119
1772,35264800,9370
1773,35266029,5112
1775,44839702,6590
1776,62778117,17659
1778,39388852,13109
1801,32769438,38903
1803,30291646,24487
1810,79897507,33201
1821,42910631,30310
1824,45964727,24911
1826,53421277,29422
1827,42620556,3179
1830,35735901,25137
1832,29420960,22060
1833,33307258,8183
1834,23008816,6459
1835,20235250,13682
1840,1290418,4733
1841,8000223,47225
1843,8726317,24425
1844,57543453,47249
1845,68133522,28352
1850,3521737,15237
1851,8645533,30190
1852,12828750,33508
1854,10187861,27606
1860,21907317,6338
1862,23934124,10227
1863,11973645,8891
1864,34032377,14892
1867,25733362,23956
1876,52981194,28667
1879,43464244,11305
1880,17889529,24733
1886,78391449,21951
1887,43971880,22325
1890,15615337,21382
1901,641320,1689
1902,6223889,45139
1904,11708211,18203
1905,9219345,25251
1906,27973350,26660
1907,7864226,14027
1908,2708929,3410
1913,31761151,16283
1915,39091336,39502
1921,61010486,7961
1922,24831876,3108
1923,34194563,26342
1929,36187007,3504
1930,67847425,28789
1937,189212,151
1938,78817223,13175
1940,27320434,12108
1944,23902799,5136
1945,11360555,19808
1949,34849382,8987
1950,21621492,17416
1951,35652314,3558
1952,39960063,8283
1960,41432495,50944
1966,18106523,6952
1969,45304086,5856
1970,21002235,41109
1982,36737604,7764
1983,30880674,6089
1984,19841456,4875
1985,34838123,4235
2019,47523223,16332
2021,48682844,21561
2025,25353993,7542
2026,26532271,24711
2030,39156781,5589
2032,6059763,4226
2035,51406167,16865
2038,68961360,31635
2043,57360231,22157
2045,6884305,10293
2047,619346,180
2048,52040205,23184
2050,75312115,25429
